filename;caption
1028205764_7e8df9a2ea.jpg;A man and a baby are in a yellow kayak on water .
1028205764_7e8df9a2ea.jpg;A man and a little boy in blue life jackets are rowing a yellow canoe .
1028205764_7e8df9a2ea.jpg;A man and child kayak through gentle waters .
1028205764_7e8df9a2ea.jpg;A man and young boy ride in a yellow kayak .
1028205764_7e8df9a2ea.jpg;Man and child in yellow kayak
1042590306_95dea0916c.jpg;A man and woman pose for the camera while another man looks on .
1042590306_95dea0916c.jpg;A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
1042590306_95dea0916c.jpg;A multiracial couple posing for a picture
1042590306_95dea0916c.jpg;Asian man and blond woman holding hands outdoors , man in background watches .
1042590306_95dea0916c.jpg;Guy in blue shirt biting hand of girl in black striped jacket while another guy watches
105342180_4d4a40b47f.jpg;A girl paddling down a large river , as seen from behind her .
105342180_4d4a40b47f.jpg;A woman kayaking down a river .
105342180_4d4a40b47f.jpg;A woman paddles a boat down a river .
105342180_4d4a40b47f.jpg;A woman with a paddle .
105342180_4d4a40b47f.jpg;A woman with a paddle sits in a boat on the water .
1084040636_97d9633581.jpg;A closeup of a white dog that is laying its head on its paws .
1084040636_97d9633581.jpg;a large white dog lying on the floor .
1084040636_97d9633581.jpg;A white dog has its head on the ground .
1084040636_97d9633581.jpg;A white dog is resting its head on a tiled floor with its eyes open .
1084040636_97d9633581.jpg;A white dog rests its head on the patio bricks .
109823397_e35154645f.jpg;A man jumps gin the air while riding an ATV
109823397_e35154645f.jpg;A man on a four-wheeler jumps near a small building .
109823397_e35154645f.jpg;An ATV is airborne over a field in front of a white structure .
109823397_e35154645f.jpg;A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .
109823397_e35154645f.jpg;Man on four wheeler in the air .
1104133405_c04a00707f.jpg;A boy carrying a soccer ball .
1104133405_c04a00707f.jpg;A boy walks with a ball tucked under his arm .
1104133405_c04a00707f.jpg;A boy walks with a soccer ball near a fence .
1104133405_c04a00707f.jpg;A boy wearing a white t-shirt walks on the grass and carries a soccer ball .
1104133405_c04a00707f.jpg;Small boy carries a soccer ball on a field .
1112212364_0c48235fc2.jpg;A baby is sitting on and playing with smooth rocks .
1112212364_0c48235fc2.jpg;A baby is stacking rocks on the beach .
1112212364_0c48235fc2.jpg;A small boy is playing with rocks
1112212364_0c48235fc2.jpg;A toddler sitting on a pile of rocks holding a rock at a beach .
1112212364_0c48235fc2.jpg;Toddler sits on a pile of rocks .
1141739219_2c47195e4c.jpg;A family gathered at a painted van
1141739219_2c47195e4c.jpg;A girl climbing down from the side of a bright blue truck while others watch .
1141739219_2c47195e4c.jpg;A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
1141739219_2c47195e4c.jpg;A very colorful bus is pulled off to the side of the road as its passengers load .
1141739219_2c47195e4c.jpg;Two women and four children standing next to a brightly painted truck .
1174629344_a2e1a2bdbf.jpg;A crowd of people walk down a busy sidewalk .
